iter	RMSE
0	15.3341296
1	14.92597811
2	14.5040333
3	14.13659124
4	13.74058798
5	13.40600433
6	13.10385121
7	12.80270701
8	12.51119656
9	12.16387379
10	11.81707524
11	11.54005684
12	11.28314911
13	11.08814108
14	10.81947463
15	10.54503569
16	10.32454139
17	10.10374958
18	9.854042141
19	9.658481366
20	9.479364331
21	9.339991666
22	9.154020437
23	8.993222215
24	8.823328691
25	8.697465977
26	8.545258907
27	8.398699239
28	8.240855197
29	8.084292483
30	7.965148158
31	7.829565702
32	7.70881953
33	7.595735495
34	7.480630184
35	7.375258508
36	7.26800304
37	7.195521804
38	7.098660895
39	7.01283268
40	6.941362832
41	6.883484304
42	6.811861698
43	6.749373133
44	6.663809416
45	6.591869299
46	6.515931066
47	6.461359931
48	6.403414632
49	6.338132644
50	6.277792394
51	6.215675726
52	6.173375751
53	6.126983287
54	6.061114432
55	6.012671528
56	5.967398517
57	5.923900961
58	5.877353851
59	5.844288475
60	5.802439536
61	5.765833169
62	5.732907681
63	5.695629649
64	5.662016913
65	5.620540983
66	5.591799066
67	5.556030709
68	5.530042368
69	5.496762849
70	5.468784916
71	5.437805042
72	5.403378281
73	5.380628852
74	5.352710816
75	5.324212731
76	5.304683345
77	5.282459421
78	5.263838858
79	5.240819972
80	5.22191511
81	5.206653768
82	5.200386131
83	5.177866461
84	5.154589408
85	5.133074704
86	5.109012498
87	5.097088313
88	5.078223366
89	5.065324604
90	5.041954597
91	5.023415854
92	5.015782284
93	5.001951961
94	4.983150895
95	4.969838502
96	4.950286499
97	4.934364667
98	4.915890688
99	4.896207819
100	4.883669183
101	4.86775013
102	4.859625373
103	4.8462577
104	4.834973995
105	4.823911105
106	4.815221035
107	4.795370194
108	4.781098792
109	4.769704551
110	4.758700651
111	4.74357355
112	4.735158445
113	4.731079749
114	4.721567939
115	4.705466589
116	4.69522845
117	4.679555783
118	4.669822658
119	4.655783144
120	4.644720805
121	4.623565093
122	4.614257111
123	4.597938376
124	4.582174969
125	4.569286781
126	4.562181711
127	4.55194974
128	4.543170464
129	4.52837442
130	4.519764261
131	4.505735705
132	4.491897881
133	4.477717344
134	4.462448879
135	4.450963942
136	4.440188137
137	4.426928218
138	4.413514083
139	4.405802993
140	4.396233606
141	4.379459909
142	4.36560529
143	4.357542435
144	4.352091065
145	4.3428647
146	4.335155616
147	4.331443247
148	4.326325701
149	4.31832643
150	4.307652986
151	4.302442502
152	4.294067051
153	4.286229905
154	4.278601917
155	4.275493239
156	4.272652908
157	4.26118162
158	4.256836693
159	4.244537558
160	4.240485157
161	4.237250716
162	4.22676428
163	4.223976105
164	4.215910687
165	4.208585656
166	4.203073702
167	4.193113663
168	4.180899103
169	4.172650406
170	4.166892679
171	4.156213219
172	4.14396539
173	4.135854866
174	4.13105242
175	4.125264273
176	4.114385414
177	4.109579198
178	4.106578952
179	4.103587781
180	4.102473134
181	4.091907069
182	4.082284113
183	4.080538685
184	4.079420423
185	4.076685794
186	4.064610459
187	4.057374345
188	4.049594885
189	4.0424591
190	4.033680481
191	4.03014628
192	4.022843911
193	4.016344529
194	4.012712638
195	4.006351851
196	3.999266394
197	3.991391086
198	3.980431444
199	3.967360112
