iter	Passed	Remaining
0	1	211
1	1	174
2	2	157
3	3	148
4	3	142
5	4	140
6	5	141
7	5	140
8	6	136
9	7	133
10	7	130
11	8	126
12	8	124
13	9	122
14	9	120
15	10	118
16	10	116
17	11	114
18	11	113
19	12	111
20	12	110
21	13	108
22	13	107
23	14	107
24	15	106
25	15	105
26	16	104
27	16	103
28	17	102
29	17	101
30	18	100
31	19	99
32	19	98
33	20	97
34	20	97
35	21	96
36	21	95
37	22	94
38	22	93
39	23	92
40	23	92
41	24	91
42	24	90
43	25	90
44	25	89
45	26	88
46	26	87
47	27	87
48	28	86
49	28	85
50	29	85
51	29	85
52	30	84
53	30	83
54	31	82
55	31	82
56	32	81
57	33	80
58	33	80
59	34	79
60	34	78
61	35	78
62	35	77
63	36	76
64	36	76
65	37	75
66	37	74
67	38	74
68	38	73
69	39	72
70	39	72
71	40	71
72	40	70
73	41	70
74	41	69
75	42	69
76	42	68
77	43	68
78	44	67
79	44	66
80	45	66
81	45	65
82	46	64
83	46	64
84	47	63
85	47	63
86	48	62
87	48	61
88	49	61
89	49	60
90	50	60
91	50	59
92	50	58
93	51	58
94	51	57
95	52	56
96	53	56
97	53	55
98	54	55
99	54	54
100	55	54
101	55	53
102	56	52
103	56	52
104	57	51
105	57	51
106	58	50
107	59	50
108	59	49
109	60	49
110	60	48
111	61	48
112	61	47
113	62	46
114	62	46
115	63	45
116	63	45
117	64	44
118	64	43
119	65	43
120	65	42
121	66	42
122	66	41
123	67	41
124	67	40
125	68	40
126	68	39
127	69	38
128	69	38
129	70	37
130	70	37
131	71	36
132	72	36
133	72	35
134	73	35
135	73	34
136	74	34
137	74	33
138	75	32
139	75	32
140	76	31
141	76	31
142	77	30
143	77	30
144	78	29
145	78	29
146	79	28
147	79	28
148	80	27
149	80	26
150	81	26
151	81	25
152	82	25
153	82	24
154	83	24
155	83	23
156	84	23
157	84	22
158	85	22
159	86	21
160	86	20
161	87	20
162	87	19
163	88	19
164	88	18
165	89	18
166	89	17
167	90	17
168	90	16
169	91	16
170	91	15
171	92	14
172	92	14
173	93	13
174	93	13
175	94	12
176	94	12
177	95	11
178	95	11
179	96	10
180	96	10
181	97	9
182	97	9
183	98	8
184	98	7
185	99	7
186	99	6
187	100	6
188	100	5
189	101	5
190	101	4
191	102	4
192	102	3
193	103	3
194	103	2
195	104	2
196	104	1
197	105	1
198	105	0
199	106	0
